indicator,Área geográfica,País__ESTANDAR,Años__ESTANDAR,Pobreza extrema y pobreza,Sexo__ESTANDAR,Clima educacional del hogar,value,unit,notes_ids,source_id
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2012,Pobreza,Mujeres,Secundaria completa,23.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2012,Pobreza,Hombres,Secundaria completa,20.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2012,Pobreza,Mujeres,Primaria completa,33.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2012,Pobreza,Hombres,Secundaria incompleta,28.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2012,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),12.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2012,Pobreza,Mujeres,Terciaria completa,3.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2012,Pobreza,Mujeres,Secundaria incompleta,30.6,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2012,Pobreza,Mujeres,Primaria incompleta,40.5,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2012,Pobreza,Hombres,Terciaria completa,3.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2012,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),9.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2012,Pobreza,Hombres,Primaria completa,38.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2012,Pobreza,Hombres,Primaria incompleta,48.6,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2013,Pobreza,Hombres,Secundaria incompleta,29.2,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2013,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),13.6,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2013,Pobreza,Hombres,Terciaria completa,3.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2013,Pobreza,Mujeres,Primaria completa,33.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2013,Pobreza,Hombres,Secundaria completa,21.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2013,Pobreza,Mujeres,Secundaria completa,22.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2013,Pobreza,Mujeres,Terciaria completa,4.7,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2013,Pobreza,Hombres,Primaria incompleta,47.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2013,Pobreza,Mujeres,Secundaria incompleta,30.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2013,Pobreza,Mujeres,Primaria incompleta,40.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2013,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),9.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2013,Pobreza,Hombres,Primaria completa,38.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2014,Pobreza,Mujeres,Primaria incompleta,38.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2014,Pobreza,Hombres,Primaria completa,39.4,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2014,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),13.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2014,Pobreza,Mujeres,Terciaria completa,4.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2014,Pobreza,Mujeres,Secundaria completa,23.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2014,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),9.2,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2014,Pobreza,Hombres,Secundaria completa,21.6,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2014,Pobreza,Hombres,Terciaria completa,3.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2014,Pobreza,Hombres,Primaria incompleta,45.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2014,Pobreza,Mujeres,Primaria completa,35.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2014,Pobreza,Mujeres,Secundaria incompleta,29.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2014,Pobreza,Hombres,Secundaria incompleta,28.6,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2015,Pobreza,Mujeres,Primaria completa,37.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2015,Pobreza,Mujeres,Primaria incompleta,40.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2015,Pobreza,Mujeres,Terciaria completa,5.3,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2015,Pobreza,Hombres,Secundaria incompleta,30.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2015,Pobreza,Hombres,Primaria incompleta,46.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2015,Pobreza,Hombres,Primaria completa,40.6,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2015,Pobreza,Mujeres,Secundaria incompleta,31.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2015,Pobreza,Hombres,Terciaria incompleta (incluye técnica terciaria),10.9,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2015,Pobreza,Hombres,Secundaria completa,23.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2015,Pobreza,Hombres,Terciaria completa,4.5,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2015,Pobreza,Mujeres,Secundaria completa,26.0,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2015,Pobreza,Mujeres,Terciaria incompleta (incluye técnica terciaria),16.1,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2016,Pobreza,Mujeres,Secundaria completa,28.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2016,Pobreza,Hombres,Primaria incompleta,48.8,Porcentaje,,26
"Población en situación de pobreza extrema y pobreza según clima educativo del hogar,  sexo y área geográfica",Nacional,América Latina,2016,Pobreza,Hombres,Primaria completa,42.4,Porcentaje,,26
