indicator,País__ESTANDAR,Años__ESTANDAR,Sexo__ESTANDAR,Escolaridad (EH),value,unit,notes_ids,source_id
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2012,Mujeres,0 a 5 años,5.3,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2012,Mujeres,13 años y más,6.4,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2012,Mujeres,10 a 12 años,10.2,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2012,Mujeres,6 a 9 años,7.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2012,Mujeres,Total,7.9,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2012,Hombres,0 a 5 años,5.1,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2012,Hombres,10 a 12 años,6.5,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2012,Hombres,13 años y más,4.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2012,Hombres,Total,6.0,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2012,Hombres,6 a 9 años,6.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2013,Hombres,Total,6.1,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2013,Hombres,13 años y más,5.0,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2013,Hombres,10 a 12 años,6.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2013,Mujeres,0 a 5 años,5.5,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2013,Hombres,6 a 9 años,6.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2013,Mujeres,6 a 9 años,7.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2013,Mujeres,13 años y más,6.5,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2013,Mujeres,Total,7.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2013,Hombres,0 a 5 años,5.1,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2013,Mujeres,10 a 12 años,10.1,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2014,Mujeres,10 a 12 años,10.4,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2014,Mujeres,0 a 5 años,5.0,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2014,Mujeres,13 años y más,6.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2014,Hombres,13 años y más,4.9,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2014,Hombres,0 a 5 años,4.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2014,Hombres,10 a 12 años,6.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2014,Mujeres,6 a 9 años,7.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2014,Hombres,6 a 9 años,6.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2014,Hombres,Total,6.0,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2014,Mujeres,Total,7.9,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2015,Mujeres,0 a 5 años,5.7,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2015,Mujeres,10 a 12 años,12.4,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2015,Mujeres,6 a 9 años,8.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2015,Hombres,0 a 5 años,5.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2015,Hombres,6 a 9 años,7.7,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2015,Hombres,10 a 12 años,8.3,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2015,Mujeres,13 años y más,7.2,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2015,Hombres,Total,7.2,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2015,Mujeres,Total,9.2,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2015,Hombres,13 años y más,5.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2016,Mujeres,0 a 5 años,5.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2016,Hombres,10 a 12 años,9.1,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2016,Mujeres,10 a 12 años,12.9,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2016,Mujeres,13 años y más,7.4,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2016,Mujeres,Total,9.3,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2016,Hombres,Total,7.6,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2016,Hombres,6 a 9 años,7.3,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2016,Hombres,0 a 5 años,6.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2016,Hombres,13 años y más,5.9,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2016,Mujeres,6 a 9 años,8.3,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2017,Mujeres,0 a 5 años,6.3,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2017,Hombres,10 a 12 años,9.1,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2017,Mujeres,10 a 12 años,13.5,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2017,Hombres,0 a 5 años,7.3,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2017,Hombres,13 años y más,5.9,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2017,Mujeres,13 años y más,7.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2017,Hombres,Total,7.8,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2017,Hombres,6 a 9 años,7.9,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2017,Mujeres,Total,9.9,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2017,Mujeres,6 a 9 años,9.0,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2018,Hombres,6 a 9 años,7.7,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2018,Hombres,0 a 5 años,7.0,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2018,Hombres,10 a 12 años,9.1,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2018,Hombres,13 años y más,5.7,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2018,Mujeres,0 a 5 años,6.4,Tasa anual media,8620,26
Tasa de desempleo abierto urbano según años de estudios y sexo,América Latina (promedio ponderado),2018,Mujeres,10 a 12 años,13.3,Tasa anual media,8620,26
